mechanism,rate,rate_pct,gene,rmse_mean,rmse_std,mae_mean,n_reps,n_predictors_selected_mean
mar,0.3,30,MYBL2,0.17362305174605347,0.006865621756215484,0.13508552945025362,5,17.2
mar,0.3,30,MDM2,0.2167935894822503,0.014343100922806506,0.1521400193509807,5,19.2
mar,0.3,30,CDC6,0.22125936557432352,0.02640079733011892,0.14297243994715508,5,10.4
mar,0.3,30,MKI67,0.22361318226549684,0.004700224258822033,0.16832096137033056,5,23.4
mar,0.3,30,NDC80,0.23996257780521918,0.004224780181129034,0.18189531637841735,5,23.0
mar,0.3,30,KIF2C,0.2515653250229106,0.011482731691034852,0.1958328112355714,5,18.6
mar,0.3,30,NUF2,0.2864406919824278,0.029228031075568033,0.20134737648082543,5,23.0
mar,0.3,30,CEP55,0.291262948553492,0.00781376118452436,0.2177504216840557,5,21.4
mar,0.3,30,EXO1,0.30454250090022816,0.005030968766629602,0.23088233529640179,5,17.6
mar,0.3,30,ANLN,0.30858061224519506,0.008725662549657773,0.2298143297562965,5,20.4
mar,0.3,30,BAG1,0.32204875835234353,0.019882348145312388,0.2224545454267644,5,21.6
mar,0.3,30,RRM2,0.34296669967316856,0.013889208857988939,0.25906773338022504,5,22.0
mar,0.3,30,CCNB1,0.3586094684812344,0.01042238392534252,0.2762917126176314,5,21.8
mar,0.3,30,MELK,0.37064138208982567,0.012374102459506443,0.27765836443055825,5,21.4
mar,0.3,30,UBE2T,0.38254048229915966,0.02279019792871205,0.2886442696941288,5,19.6
mar,0.3,30,PTTG1,0.38474958500756334,0.012367378873886685,0.3001625333549882,5,22.8
mar,0.3,30,ORC6,0.386566836155048,0.012728182906893587,0.3160001932564168,5,20.2
mar,0.3,30,CDC20,0.3882021252095683,0.009302388427054926,0.29569181992881954,5,21.8
mar,0.3,30,CENPF,0.40492547025147163,0.017311767069945413,0.30755845193027753,5,23.0
mar,0.3,30,UBE2C,0.4275546756895953,0.014240124240550168,0.3256560014275184,5,23.0
mar,0.3,30,MIA,0.489751098882847,0.015605713773295215,0.3009858373823459,5,23.0
mar,0.3,30,TYMS,0.4917020107678315,0.01262474627769175,0.3854927338453705,5,21.8
mar,0.3,30,CCNE1,0.4931791662736302,0.023986644084780268,0.33275649859134465,5,23.0
mar,0.3,30,BIRC5,0.5209304388221996,0.008996814083771898,0.3696641229593716,5,15.0
mar,0.3,30,TMEM45B,0.5213117236760823,0.02595232705092424,0.3810819273641102,5,22.8
mar,0.3,30,GRB7,0.5334793061203135,0.03121012847332272,0.384585289806351,5,19.0
mar,0.3,30,ACTR3B,0.5426416659832662,0.031907354203957565,0.3363296406089851,5,23.2
mar,0.3,30,CXXC5,0.5706962407809922,0.012564038256064964,0.43309937446440505,5,22.8
mar,0.3,30,ERBB2,0.5726238257809108,0.019224892772813845,0.4135215137028214,5,22.8
mar,0.3,30,GPR160,0.5897404256779285,0.009609682649573563,0.4533825900363878,5,22.6
mar,0.3,30,FOXA1,0.6141878574029267,0.03327415151822217,0.43598429368616615,5,21.4
mar,0.3,30,BLVRA,0.6274918893955053,0.021017703760794242,0.4700988798059987,5,22.2
mar,0.3,30,KRT5,0.6330000059711078,0.034366027119644066,0.34547968701769716,5,22.6
mar,0.3,30,BCL2,0.6756146920432402,0.021644845285019528,0.5225757569305168,5,23.4
mar,0.3,30,MLPH,0.6826400067780554,0.026128023803911403,0.5089141067705844,5,23.8
mar,0.3,30,KRT14,0.7088460504081252,0.041949709724184936,0.4150582450509012,5,18.0
mar,0.3,30,EGFR,0.7120813043481293,0.05124821711359538,0.3399600065375684,5,22.4
mar,0.3,30,FOXC1,0.7654566246601398,0.022566853519484557,0.5497522491927891,5,23.0
mar,0.3,30,KRT17,0.8069807930817868,0.025011088699277637,0.540580764645468,5,3.6
mar,0.3,30,PGR,0.8317073395801522,0.01515514087545041,0.6330498843005945,5,22.6
mar,0.3,30,MYC,0.8380194899444195,0.03454631983247829,0.6595313596607818,5,23.8
mar,0.3,30,FGFR4,0.8709823783350936,0.034142626991375005,0.5928709311223015,5,23.4
mar,0.3,30,CDH3,0.8760189647013392,0.03241003457064996,0.6361826117229669,5,23.8
mar,0.3,30,SLC39A6,0.9626479209875656,0.021147331949063795,0.7632145303113502,5,23.8
mar,0.3,30,PHGDH,0.971732492633396,0.03411699979415242,0.7525709320407356,5,23.4
mar,0.3,30,ESR1,0.988740293546712,0.017196360106590584,0.7691742699464501,5,21.2
mar,0.3,30,SFRP1,1.0155653360509362,0.07248976462934711,0.6971073132757698,5,20.2
mar,0.3,30,MAPT,1.0691137865118086,0.012545832366753518,0.8146075219950644,5,23.6
mar,0.3,30,NAT1,1.2162231521552633,0.028871060711544837,0.9447063534637448,5,22.8
mar,0.3,30,MMP11,1.3167909810607195,0.050767125776167515,1.0225259682995775,5,20.4
mcar,0.1,10,MYBL2,0.15833418818969788,0.014333536257557143,0.12370245456278947,5,14.8
mcar,0.1,10,MKI67,0.1933982290145138,0.018338645687321433,0.14710877768428166,5,23.8
