cohort,mechanism,imputer,missing_rate,f1_mean,f1_std,bal_mean,bal_std,n_cls_rows,rmse_mean,rmse_std,mae_mean,mae_std,corr_rv_mean,corr_frobenius_rel_mean
discovery,mar,MissForest,0.2,0.9267648945257642,0.05333280095429318,0.9208333333333333,0.06465940768571556,50,2.1148904888293623,0.4579505578315058,1.3882970126469758,0.26744337033220106,0.9819462641031209,0.19154513329514614
discovery,mar,SimpleMean,0.3,0.8735600879796531,0.05449501830100081,0.854090909090909,0.06197713770795482,50,2.93204585025975,0.29310888060492557,2.169499048508353,0.21592107868481336,0.9116598357490139,0.4287218389113417
discovery,mar,"KNN(k=5,dist)",0.3,0.8891159432355085,0.06883564131864114,0.8766287878787878,0.0750391198894515,50,2.2844706736933342,0.2031625843204412,1.5592221859315218,0.14477267763131696,0.9633384089117574,0.2737153021972764
discovery,mar,RFECA_SVR(k=5),0.3,0.8902480753545972,0.05358778318692026,0.8782954545454544,0.05761501902013131,50,2.555638289469559,0.34671942636949005,1.7609613897022671,0.22393616130907604,0.9463820415615005,0.32256390248850514
discovery,mar,RFECA_SVR(k=10),0.3,0.8802132140806053,0.06159042498139557,0.874090909090909,0.06519972220927106,50,2.802024652502146,0.36467546676541945,1.9278741299191944,0.22705576627238586,0.9295804394756877,0.36870713988645565
discovery,mar,RFECA_SVR(k=20),0.3,0.8738902317489275,0.07362511467970259,0.8657575757575756,0.07623788678879143,50,3.0672129711786225,0.3181957069745614,2.140725326790544,0.2101131012132674,0.9139264296406089,0.40636712290646876
discovery,mar,MissForest,0.3,0.8960713607648391,0.06440466452600939,0.8890909090909092,0.06770576956064014,50,2.1523841954739855,0.3306949831508314,1.4131120409211386,0.19239332677948923,0.9711386610011563,0.24627790610853098
metabric,mar,SimpleMean,0.0,0.8859360095573787,0.01389085443373495,0.8752464911354513,0.013119020735135928,50,,,,,,
metabric,mar,"KNN(k=5,dist)",0.0,0.8859360095573787,0.01389085443373495,0.8752464911354513,0.013119020735135928,50,,,,,,
metabric,mar,RFECA_SVR(k=5),0.0,0.8859360095573787,0.01389085443373495,0.8752464911354513,0.013119020735135928,50,,,,,,
