cohort,missing_rate,metric,method_a,method_b,mean_a,mean_b,delta_a_minus_b,p_value,n_pairs,note
discovery,0.05,rmse,SimpleMean,"KNN(k=5,dist)",2.8081285785899355,2.016992315275133,0.7911362633148027,0.001953125,10,
discovery,0.05,rmse,SimpleMean,RFECA_SVR(k=5),2.8081285785899355,2.0406309920844974,0.7674975865054381,0.001953125,10,
discovery,0.05,rmse,SimpleMean,RFECA_SVR(k=10),2.8081285785899355,2.1476662234311603,0.6604623551587752,0.001953125,10,
discovery,0.05,rmse,SimpleMean,RFECA_SVR(k=20),2.8081285785899355,2.388047481929054,0.42008109666088167,0.001953125,10,
discovery,0.05,rmse,"KNN(k=5,dist)",RFECA_SVR(k=5),2.016992315275133,2.0406309920844974,-0.0236386768093646,0.6953125,10,
discovery,0.05,rmse,"KNN(k=5,dist)",RFECA_SVR(k=10),2.016992315275133,2.1476662234311603,-0.13067390815602753,0.130859375,10,
discovery,0.05,rmse,"KNN(k=5,dist)",RFECA_SVR(k=20),2.016992315275133,2.388047481929054,-0.371055166653921,0.001953125,10,
discovery,0.05,rmse,RFECA_SVR(k=5),RFECA_SVR(k=10),2.0406309920844974,2.1476662234311603,-0.10703523134666293,0.064453125,10,
discovery,0.05,rmse,RFECA_SVR(k=5),RFECA_SVR(k=20),2.0406309920844974,2.388047481929054,-0.3474164898445564,0.001953125,10,
discovery,0.05,rmse,RFECA_SVR(k=10),RFECA_SVR(k=20),2.1476662234311603,2.388047481929054,-0.2403812584978935,0.001953125,10,
discovery,0.1,rmse,SimpleMean,"KNN(k=5,dist)",2.8483087786082413,2.0850778545925936,0.7632309240156476,0.001953125,10,
discovery,0.1,rmse,SimpleMean,RFECA_SVR(k=5),2.8483087786082413,2.0960004545578665,0.7523083240503747,0.001953125,10,
discovery,0.1,rmse,SimpleMean,RFECA_SVR(k=10),2.8483087786082413,2.250653198847436,0.5976555797608052,0.001953125,10,
discovery,0.1,rmse,SimpleMean,RFECA_SVR(k=20),2.8483087786082413,2.4792008052240244,0.36910797338421686,0.001953125,10,
discovery,0.1,rmse,"KNN(k=5,dist)",RFECA_SVR(k=5),2.0850778545925936,2.0960004545578665,-0.010922599965272894,0.625,10,
discovery,0.1,rmse,"KNN(k=5,dist)",RFECA_SVR(k=10),2.0850778545925936,2.250653198847436,-0.16557534425484244,0.001953125,10,
discovery,0.1,rmse,"KNN(k=5,dist)",RFECA_SVR(k=20),2.0850778545925936,2.4792008052240244,-0.39412295063143077,0.001953125,10,
discovery,0.1,rmse,RFECA_SVR(k=5),RFECA_SVR(k=10),2.0960004545578665,2.250653198847436,-0.15465274428956954,0.001953125,10,
discovery,0.1,rmse,RFECA_SVR(k=5),RFECA_SVR(k=20),2.0960004545578665,2.4792008052240244,-0.3832003506661579,0.001953125,10,
discovery,0.1,rmse,RFECA_SVR(k=10),RFECA_SVR(k=20),2.250653198847436,2.4792008052240244,-0.22854760637658833,0.001953125,10,
discovery,0.2,rmse,SimpleMean,"KNN(k=5,dist)",2.7960689101501353,2.0782866261679245,0.7177822839822108,0.001953125,10,
discovery,0.2,rmse,SimpleMean,RFECA_SVR(k=5),2.7960689101501353,2.1743004675557405,0.6217684425943948,0.001953125,10,
discovery,0.2,rmse,SimpleMean,RFECA_SVR(k=10),2.7960689101501353,2.3227051231032236,0.4733637870469116,0.001953125,10,
discovery,0.2,rmse,SimpleMean,RFECA_SVR(k=20),2.7960689101501353,2.6260577692841762,0.17001114086595903,0.00390625,10,
discovery,0.2,rmse,"KNN(k=5,dist)",RFECA_SVR(k=5),2.0782866261679245,2.1743004675557405,-0.09601384138781599,0.001953125,10,
discovery,0.2,rmse,"KNN(k=5,dist)",RFECA_SVR(k=10),2.0782866261679245,2.3227051231032236,-0.24441849693529916,0.001953125,10,
discovery,0.2,rmse,"KNN(k=5,dist)",RFECA_SVR(k=20),2.0782866261679245,2.6260577692841762,-0.5477711431162517,0.001953125,10,
discovery,0.2,rmse,RFECA_SVR(k=5),RFECA_SVR(k=10),2.1743004675557405,2.3227051231032236,-0.14840465554748317,0.001953125,10,
