cohort,mechanism,missing_rate,metric,higher_is_better,method_a,method_b,mean_a,mean_b,delta_a_minus_b,delta_ci95_low,delta_ci95_high,wilcoxon_stat,p_value,rank_biserial_r,n_pairs,n_boot,p_holm
METABRIC,MAR,0.05,mae,False,KNN,MissForest,0.47767433921768443,0.4260548307267255,0.05161950849095892,0.04964327875232177,0.053581328967559,0.0,0.001953125,1.0,10,5000,0.005859375
METABRIC,MAR,0.05,corr_rv,True,Mean,KNN,0.9977647441987761,0.9993058780812966,-0.001541133882520418,-0.0016295741240185512,-0.0014546407782117122,0.0,0.001953125,-1.0,10,5000,0.005859375
METABRIC,MAR,0.05,corr_rv,True,Mean,MissForest,0.9977647441987761,0.9994367754978134,-0.0016720312990372577,-0.0017606973201156938,-0.001583694553718432,0.0,0.001953125,-1.0,10,5000,0.005859375
METABRIC,MAR,0.05,corr_rv,True,KNN,MissForest,0.9993058780812966,0.9994367754978134,-0.00013089741651683973,-0.00014884650769225684,-0.00011195025362811585,0.0,0.001953125,-1.0,10,5000,0.005859375
METABRIC,MAR,0.05,f1_macro,True,Mean,KNN,0.8807230463647768,0.8803363082962823,0.00038673806849454095,-0.002457283918291948,0.002947087306526887,21.0,0.556640625,0.2,10,5000,1.0
METABRIC,MAR,0.05,f1_macro,True,Mean,MissForest,0.8807230463647768,0.8805805867748587,0.00014245958991809804,-0.0021598375099059174,0.002037740286905029,24.0,0.76953125,0.0,10,5000,1.0
METABRIC,MAR,0.05,f1_macro,True,KNN,MissForest,0.8803363082962823,0.8805805867748587,-0.0002442784785764429,-0.002707708957626183,0.0022229782796069947,23.0,0.6953125,-0.2,10,5000,1.0
METABRIC,MAR,0.1,rmse,False,Mean,KNN,1.1602141435329831,0.7098662056262381,0.450347937906745,0.4453271648390378,0.4546550347376978,0.0,0.001953125,1.0,10,5000,0.005859375
METABRIC,MAR,0.1,rmse,False,Mean,MissForest,1.1602141435329831,0.6427895028879883,0.5174246406449948,0.5122174367775976,0.5223219079931671,0.0,0.001953125,1.0,10,5000,0.005859375
METABRIC,MAR,0.1,rmse,False,KNN,MissForest,0.7098662056262381,0.6427895028879883,0.06707670273824984,0.06402941378113208,0.06989554625909809,0.0,0.001953125,1.0,10,5000,0.005859375
METABRIC,MAR,0.1,mae,False,Mean,KNN,0.8191159791076407,0.48310158594163377,0.3360143931660069,0.33251375806396705,0.33950199692098976,0.0,0.001953125,1.0,10,5000,0.005859375
METABRIC,MAR,0.1,mae,False,Mean,MissForest,0.8191159791076407,0.4306833769894324,0.3884326021182083,0.38514270770051706,0.39150666354572067,0.0,0.001953125,1.0,10,5000,0.005859375
METABRIC,MAR,0.1,mae,False,KNN,MissForest,0.48310158594163377,0.4306833769894324,0.052418208952201395,0.05067222044543356,0.05409948497848194,0.0,0.001953125,1.0,10,5000,0.005859375
METABRIC,MAR,0.1,corr_rv,True,Mean,KNN,0.9942925728728254,0.9984620111159137,-0.0041694382430883525,-0.004288324820505987,-0.004015374663790458,0.0,0.001953125,-1.0,10,5000,0.005859375
METABRIC,MAR,0.1,corr_rv,True,Mean,MissForest,0.9942925728728254,0.9987570661639642,-0.004464493291138849,-0.004605628784950526,-0.004295038426087187,0.0,0.001953125,-1.0,10,5000,0.005859375
METABRIC,MAR,0.1,corr_rv,True,KNN,MissForest,0.9984620111159137,0.9987570661639642,-0.00029505504805049654,-0.0003246234027441844,-0.00026459949141604405,0.0,0.001953125,-1.0,10,5000,0.005859375
METABRIC,MAR,0.1,f1_macro,True,Mean,KNN,0.8743290626841953,0.8778545991857504,-0.003525536501555071,-0.006235736923489876,-0.0006857193054379373,12.0,0.130859375,-0.2,10,5000,0.26171875
METABRIC,MAR,0.1,f1_macro,True,Mean,MissForest,0.8743290626841953,0.8791786876085735,-0.0048496249243782374,-0.008187438595399986,-0.0011080987046303554,6.0,0.02734375,-0.8,10,5000,0.08203125
METABRIC,MAR,0.1,f1_macro,True,KNN,MissForest,0.8778545991857504,0.8791786876085735,-0.0013240884228231664,-0.0033363845543076254,0.0006505585682825862,17.0,0.322265625,-0.4,10,5000,0.322265625
METABRIC,MAR,0.2,rmse,False,Mean,KNN,1.1491114075405715,0.7507455341014431,0.39836587343912844,0.3910506164852066,0.4053188964383411,0.0,0.001953125,1.0,10,5000,0.005859375
METABRIC,MAR,0.2,rmse,False,Mean,MissForest,1.1491114075405715,0.6721495670652327,0.47696184047533885,0.47251225346322495,0.48227012731806024,0.0,0.001953125,1.0,10,5000,0.005859375
METABRIC,MAR,0.2,rmse,False,KNN,MissForest,0.7507455341014431,0.6721495670652327,0.07859596703621041,0.07075410150247627,0.08637488396841521,0.0,0.001953125,1.0,10,5000,0.005859375
METABRIC,MAR,0.2,mae,False,Mean,KNN,0.811289192301281,0.5089724819832424,0.30231671031803864,0.29847703566373296,0.30574209509933487,0.0,0.001953125,1.0,10,5000,0.005859375
METABRIC,MAR,0.2,mae,False,Mean,MissForest,0.811289192301281,0.44529760713839767,0.3659915851628834,0.3633957497492914,0.3684346406434536,0.0,0.001953125,1.0,10,5000,0.005859375
METABRIC,MAR,0.2,mae,False,KNN,MissForest,0.5089724819832424,0.44529760713839767,0.06367487484484474,0.05991642702531319,0.06730217071340677,0.0,0.001953125,1.0,10,5000,0.005859375
METABRIC,MAR,0.2,corr_rv,True,Mean,KNN,0.9830501684053313,0.9961800963159358,-0.013129927910604522,-0.0134194836868945,-0.012875842023235731,0.0,0.001953125,-1.0,10,5000,0.005859375
METABRIC,MAR,0.2,corr_rv,True,Mean,MissForest,0.9830501684053313,0.9971128483385948,-0.014062679933263489,-0.014394264770130463,-0.013778626642803668,0.0,0.001953125,-1.0,10,5000,0.005859375
METABRIC,MAR,0.2,corr_rv,True,KNN,MissForest,0.9961800963159358,0.9971128483385948,-0.000932752022658967,-0.0010652036661462402,-0.0008107041766446022,0.0,0.001953125,-1.0,10,5000,0.005859375
METABRIC,MAR,0.2,f1_macro,True,Mean,KNN,0.8635717320954566,0.8721681465435436,-0.008596414448087009,-0.009910377760516545,-0.006881209150386341,0.0,0.001953125,-1.0,10,5000,0.005859375
METABRIC,MAR,0.2,f1_macro,True,Mean,MissForest,0.8635717320954566,0.8707923202001207,-0.007220588104664083,-0.010981841170451952,-0.0038933714239633675,1.0,0.00390625,-0.8,10,5000,0.0078125
METABRIC,MAR,0.2,f1_macro,True,KNN,MissForest,0.8721681465435436,0.8707923202001207,0.0013758263434229256,-0.001771181122094048,0.004394008395481612,19.0,0.431640625,0.2,10,5000,0.431640625
METABRIC,MAR,0.3,rmse,False,Mean,KNN,1.143003217234177,0.856710260394444,0.2862929568397331,0.27375912119575685,0.2971552097128778,0.0,0.001953125,1.0,10,5000,0.005859375
METABRIC,MAR,0.3,rmse,False,Mean,MissForest,1.143003217234177,0.7052613170597014,0.4377419001744757,0.4336086087533465,0.4414422019102931,0.0,0.001953125,1.0,10,5000,0.005859375
METABRIC,MAR,0.3,rmse,False,KNN,MissForest,0.856710260394444,0.7052613170597014,0.15144894333474257,0.14259688455085706,0.16157888213997196,0.0,0.001953125,1.0,10,5000,0.005859375
METABRIC,MAR,0.3,mae,False,Mean,KNN,0.8029062803284972,0.575010695042496,0.22789558528600118,0.22194249688778542,0.2333647958676733,0.0,0.001953125,1.0,10,5000,0.005859375
METABRIC,MAR,0.3,mae,False,Mean,MissForest,0.8029062803284972,0.4650253873684155,0.3378808929600817,0.3358305124376396,0.3398101670151653,0.0,0.001953125,1.0,10,5000,0.005859375
METABRIC,MAR,0.3,mae,False,KNN,MissForest,0.575010695042496,0.4650253873684155,0.10998530767408055,0.10548966185147082,0.11502480221145295,0.0,0.001953125,1.0,10,5000,0.005859375
METABRIC,MAR,0.3,corr_rv,True,Mean,KNN,0.966421453522794,0.9924434633760825,-0.026022009853288508,-0.026769802428294204,-0.025207899556040615,0.0,0.001953125,-1.0,10,5000,0.005859375
METABRIC,MAR,0.3,corr_rv,True,Mean,MissForest,0.966421453522794,0.9950398714454506,-0.028618417922656625,-0.029219817782837536,-0.02803258281988731,0.0,0.001953125,-1.0,10,5000,0.005859375
METABRIC,MAR,0.3,corr_rv,True,KNN,MissForest,0.9924434633760825,0.9950398714454506,-0.002596408069368117,-0.0029413324979340513,-0.0022254638918454447,0.0,0.001953125,-1.0,10,5000,0.005859375
METABRIC,MAR,0.3,f1_macro,True,Mean,KNN,0.8480200851951301,0.848245423395533,-0.00022533820040293584,-0.005099077443857943,0.00525730154546083,25.0,0.845703125,0.2,10,5000,0.845703125
METABRIC,MAR,0.3,f1_macro,True,Mean,MissForest,0.8480200851951301,0.8606189427022096,-0.012598857507079564,-0.01717038985144007,-0.008538007594390894,0.0,0.001953125,-1.0,10,5000,0.005859375
METABRIC,MAR,0.3,f1_macro,True,KNN,MissForest,0.848245423395533,0.8606189427022096,-0.012373519306676628,-0.016240314209183575,-0.008723178021841143,0.0,0.001953125,-1.0,10,5000,0.005859375
