mechanism,missing_rate,gene,rmse_mean,mae_mean,n
mar,0.2,KIF2C,0.26274640452683506,0.20460265188451507,5
mar,0.2,KRT14,0.7383154234251659,0.4370316420365376,5
mar,0.2,KRT17,0.8147319987122339,0.5410536764552112,5
mar,0.2,KRT5,0.6370496035720621,0.3421202599391028,5
mar,0.2,MAPT,1.1015799420338976,0.8431181229392942,5
mar,0.2,MDM2,0.22009750508058187,0.15277008448649523,5
mar,0.2,MELK,0.37241780091477483,0.2801329320093794,5
mar,0.2,MIA,0.4758886886820254,0.2926073549992167,5
mar,0.2,MKI67,0.22494735620084913,0.16595693684535154,5
mar,0.2,MLPH,0.6647662578279585,0.4903714365066535,5
mar,0.2,MMP11,1.3302274157608802,1.0371441583208445,5
mar,0.2,MYBL2,0.17081301420978806,0.13348693962056662,5
mar,0.2,MYC,0.8500251018268571,0.6664935161159342,5
mar,0.2,NAT1,1.2240455882200079,0.953595261250727,5
mar,0.2,NDC80,0.2382032535447657,0.18272983331520154,5
mar,0.2,NUF2,0.2909114129267582,0.20113026004354734,5
mar,0.2,ORC6,0.3851637836768343,0.3170454225483163,5
mar,0.2,PGR,0.8264320857547048,0.6227527836764623,5
mar,0.2,PHGDH,0.9426583126018558,0.7351726138194906,5
mar,0.2,PTTG1,0.38855397835131533,0.3031480004208045,5
mar,0.2,RRM2,0.34076109805040206,0.2576561663772039,5
mar,0.2,SFRP1,1.0240937982774778,0.7092655466769522,5
mar,0.2,SLC39A6,0.9796857564177268,0.7818097359240486,5
mar,0.2,TMEM45B,0.5153371653828941,0.3780980216143397,5
mar,0.2,TYMS,0.4817157884135665,0.37952835685136843,5
mar,0.2,UBE2C,0.412348858861345,0.3181305575656232,5
mar,0.2,UBE2T,0.37363846449743576,0.2840113136016641,5
mar,0.3,ACTR3B,0.5426416659832662,0.3363296406089851,5
mar,0.3,ANLN,0.30858061224519506,0.2298143297562965,5
mar,0.3,BAG1,0.32204875835234353,0.2224545454267644,5
mar,0.3,BCL2,0.6756146920432402,0.5225757569305168,5
mar,0.3,BIRC5,0.5209304388221996,0.3696641229593716,5
mar,0.3,BLVRA,0.6274918893955053,0.4700988798059987,5
mar,0.3,CCNB1,0.3586094684812344,0.2762917126176314,5
mar,0.3,CCNE1,0.4931791662736302,0.33275649859134465,5
mar,0.3,CDC20,0.3882021252095683,0.29569181992881954,5
mar,0.3,CDC6,0.22125936557432352,0.14297243994715508,5
mar,0.3,CDH3,0.8760189647013392,0.6361826117229669,5
mar,0.3,CENPF,0.40492547025147163,0.30755845193027753,5
mar,0.3,CEP55,0.291262948553492,0.2177504216840557,5
mar,0.3,CXXC5,0.5706962407809922,0.43309937446440505,5
mar,0.3,EGFR,0.7120813043481293,0.3399600065375684,5
mar,0.3,ERBB2,0.5726238257809108,0.4135215137028214,5
mar,0.3,ESR1,0.988740293546712,0.7691742699464501,5
mar,0.3,EXO1,0.30454250090022816,0.23088233529640179,5
mar,0.3,FGFR4,0.8709823783350936,0.5928709311223015,5
mar,0.3,FOXA1,0.6141878574029267,0.43598429368616615,5
mar,0.3,FOXC1,0.7654566246601398,0.5497522491927891,5
mar,0.3,GPR160,0.5897404256779285,0.4533825900363878,5
mar,0.3,GRB7,0.5334793061203135,0.384585289806351,5
mar,0.3,KIF2C,0.2515653250229106,0.1958328112355714,5
mar,0.3,KRT14,0.7088460504081252,0.4150582450509012,5
mar,0.3,KRT17,0.8069807930817868,0.540580764645468,5
mar,0.3,KRT5,0.6330000059711078,0.34547968701769716,5
mar,0.3,MAPT,1.0691137865118086,0.8146075219950644,5
mar,0.3,MDM2,0.2167935894822503,0.1521400193509807,5
mar,0.3,MELK,0.37064138208982567,0.27765836443055825,5
mar,0.3,MIA,0.489751098882847,0.3009858373823459,5
mar,0.3,MKI67,0.22361318226549684,0.16832096137033056,5
mar,0.3,MLPH,0.6826400067780554,0.5089141067705844,5
mar,0.3,MMP11,1.3167909810607195,1.0225259682995775,5
mar,0.3,MYBL2,0.17362305174605347,0.13508552945025362,5
mar,0.3,MYC,0.8380194899444195,0.6595313596607818,5
mar,0.3,NAT1,1.2162231521552633,0.9447063534637448,5
mar,0.3,NDC80,0.23996257780521918,0.18189531637841735,5
mar,0.3,NUF2,0.2864406919824278,0.20134737648082543,5
mar,0.3,ORC6,0.386566836155048,0.3160001932564168,5
mar,0.3,PGR,0.8317073395801522,0.6330498843005945,5
mar,0.3,PHGDH,0.971732492633396,0.7525709320407356,5
mar,0.3,PTTG1,0.38474958500756334,0.3001625333549882,5
