mechanism,missing_rate,gene,mean_pairwise_jaccard
MCAR,0.2,BCL2,0.6418245930314895
MCAR,0.2,BIRC5,0.6089978820113753
MCAR,0.2,BLVRA,0.7559002117045595
MCAR,0.2,CCNB1,0.6146059113300492
MCAR,0.2,CCNE1,0.7370350539016207
MCAR,0.2,CDC20,0.6391020849604058
MCAR,0.2,CDC6,0.4147541478129713
MCAR,0.2,CDH3,0.6516577208067753
MCAR,0.2,CENPF,0.6392251554320519
MCAR,0.2,CEP55,0.783457264957265
MCAR,0.2,CXXC5,0.7160372194854954
MCAR,0.2,EGFR,0.5781962315545524
MCAR,0.2,ERBB2,0.5505891319573187
MCAR,0.2,ESR1,0.6399245188150735
MCAR,0.2,EXO1,0.7101227106227107
MCAR,0.2,FGFR4,0.6010372194854953
MCAR,0.2,FOXA1,0.9038866930171278
MCAR,0.2,FOXC1,0.7110132204959791
MCAR,0.2,GPR160,0.6298177842427007
MCAR,0.2,GRB7,0.6697150459507439
MCAR,0.2,KIF2C,0.6092304821615165
MCAR,0.2,KRT14,0.6202958273610448
MCAR,0.2,KRT17,0.9
MCAR,0.2,KRT5,0.5704829771174321
MCAR,0.2,MAPT,0.6658787138787139
MCAR,0.2,MDM2,0.47151812036594637
MCAR,0.2,MELK,0.5820034135518007
MCAR,0.2,MIA,0.598562306148513
MCAR,0.2,MKI67,0.6586735997080825
MCAR,0.2,MLPH,0.5910714183851002
MCAR,0.2,MMP11,0.5930112416319313
MCAR,0.2,MYBL2,0.6456293306796403
MCAR,0.2,MYC,0.6840899330554502
MCAR,0.2,NAT1,0.7138115588115588
MCAR,0.2,NDC80,0.6199393939393939
MCAR,0.2,NUF2,0.6624753343718861
MCAR,0.2,ORC6,0.605657962109575
MCAR,0.2,PGR,0.62760450471129
MCAR,0.2,PHGDH,0.6532437371058062
MCAR,0.2,PTTG1,0.677738551359241
MCAR,0.2,RRM2,0.5833128078817733
MCAR,0.2,SFRP1,0.6083186468586927
MCAR,0.2,SLC39A6,0.6559811878888631
MCAR,0.2,TMEM45B,0.5960190334940056
MCAR,0.2,TYMS,0.6873260213605041
MCAR,0.2,UBE2C,0.7597911877394636
MCAR,0.2,UBE2T,0.7157327422979597
MCAR,0.3,ACTR3B,0.5454350733619365
MCAR,0.3,ANLN,0.5276951338890994
MCAR,0.3,BAG1,0.5963389294363807
MCAR,0.3,BCL2,0.6337457845577978
MCAR,0.3,BIRC5,0.6027236948451108
MCAR,0.3,BLVRA,0.6232848703853202
MCAR,0.3,CCNB1,0.7343603778086536
MCAR,0.3,CCNE1,0.6576445904032111
MCAR,0.3,CDC20,0.5744646840194068
MCAR,0.3,CDC6,0.4443243357949241
MCAR,0.3,CDH3,0.5956427188351548
MCAR,0.3,CENPF,0.6566801153757675
MCAR,0.3,CEP55,0.7869211569428961
MCAR,0.3,CXXC5,0.6350018946570671
MCAR,0.3,EGFR,0.5372860683655286
MCAR,0.3,ERBB2,0.6088519872168371
MCAR,0.3,ESR1,0.6117865353037767
MCAR,0.3,EXO1,0.7251945461945463
MCAR,0.3,FGFR4,0.555032934020003
MCAR,0.3,FOXA1,0.7835684026118809
MCAR,0.3,FOXC1,0.6641644562334217
MCAR,0.3,GPR160,0.5476309866903581
MCAR,0.3,GRB7,0.6297906178489703
MCAR,0.3,KIF2C,0.4822478991596639
MCAR,0.3,KRT14,0.5185508361430954
MCAR,0.3,KRT17,0.4771739130434782
MCAR,0.3,KRT5,0.5638237260977805
MCAR,0.3,MAPT,0.5973587716510409
MCAR,0.3,MDM2,0.47049514310944895
MCAR,0.3,MELK,0.4644687742066774
MCAR,0.3,MIA,0.6342876089427814
MCAR,0.3,MKI67,0.6436438378033206
MCAR,0.3,MLPH,0.6076178266178266
MCAR,0.3,MMP11,0.536410052910053
MCAR,0.3,MYBL2,0.4236321093654853
MCAR,0.3,MYC,0.6338795559485215
MCAR,0.3,NAT1,0.6778507571611019
MCAR,0.3,NDC80,0.667420389316941
MCAR,0.3,NUF2,0.5828724229155264
MCAR,0.3,ORC6,0.544533608771651
MCAR,0.3,PGR,0.5741262891142951
MCAR,0.3,PHGDH,0.5292013944064834
MCAR,0.3,PTTG1,0.6110350301039957
MCAR,0.3,RRM2,0.5770776943517489
MCAR,0.3,SFRP1,0.5786750715551314
MCAR,0.3,SLC39A6,0.6795030045141279
