mechanism,missing_rate,method,gene,rmse_mean,rmse_std,mae_mean,mae_std,n_reps
mar,0.05,MissForest,CCNE1,0.5022739205130721,0.0688815776587291,0.3287979891938416,0.030026982673960326,5
mar,0.05,MissForest,CDC20,0.39046262296984696,0.05043179779835186,0.3026427590760842,0.0416322009433456,5
mar,0.05,MissForest,CDC6,0.2042673287263325,0.045894093673990166,0.1403608556574934,0.015824995765240404,5
mar,0.05,MissForest,CDH3,0.7895535835243039,0.08973851958303877,0.5956853657367691,0.05029578098412601,5
mar,0.05,MissForest,CENPF,0.4538904441587334,0.032356118096899596,0.34391273326315885,0.012255367557174475,5
mar,0.05,MissForest,CEP55,0.3224765253796267,0.042965681279307874,0.2438207119423847,0.030624717278703747,5
mar,0.05,MissForest,CXXC5,0.6292396549255492,0.03376947261647415,0.4892292861785757,0.03637826326190965,5
mar,0.05,MissForest,EGFR,0.6694176214082276,0.12873697716363902,0.36113858823254796,0.03137957036780508,5
mar,0.05,MissForest,ERBB2,0.6539432576074786,0.0746662351434586,0.4573734988409872,0.017536848160055695,5
mar,0.05,MissForest,ESR1,0.8528257001227413,0.052182279136799826,0.6723045560837815,0.04956139230634983,5
mar,0.05,MissForest,EXO1,0.3143900172108166,0.024291279494161752,0.2433332200323457,0.012527117998770898,5
mar,0.05,MissForest,FGFR4,0.8302385503582614,0.10755609742016427,0.5816064685885941,0.029984707733170735,5
mar,0.05,MissForest,FOXA1,0.6978309454443805,0.08760343232569759,0.44308097872912705,0.04735448476072799,5
mar,0.05,MissForest,FOXC1,0.6638734599477171,0.08183473737482895,0.5001464158500506,0.06043562261054797,5
mar,0.05,MissForest,GPR160,0.586764614230028,0.046411248796149746,0.4623653028740666,0.052513623105617996,5
mar,0.05,MissForest,GRB7,0.5259322134579228,0.11230344175273102,0.3696990342204108,0.03245576852989143,5
mar,0.05,MissForest,KIF2C,0.28238691392473714,0.031517614035159854,0.21119566727525071,0.01674470136178111,5
mar,0.05,MissForest,KRT14,0.7105346712494021,0.16017614943967035,0.42185605942380666,0.07340627546333203,5
mar,0.05,MissForest,KRT17,0.6991831487007464,0.12487887008430558,0.5023993553843509,0.07134662108100698,5
mar,0.05,MissForest,KRT5,0.6321600071271037,0.07890287720097744,0.3614576509492035,0.019675624862572065,5
mar,0.05,MissForest,MAPT,1.0601702032488856,0.15634271250192722,0.8086768304906606,0.1387204326778695,5
mar,0.05,MissForest,MDM2,0.19965405663300267,0.034159072574820495,0.15590794160478705,0.022882592498874275,5
mar,0.05,MissForest,MELK,0.42650257244404377,0.04254951280872645,0.3122335497067886,0.0231214038132527,5
mar,0.05,MissForest,MIA,0.5947823895970148,0.0736934727899613,0.3558959380645158,0.034304891926353276,5
mar,0.05,MissForest,MKI67,0.2290809713167044,0.017224060773275013,0.16888909315768727,0.016668819701668662,5
mar,0.05,MissForest,MLPH,0.7121623889147326,0.03693991001789257,0.5338558463644099,0.034694996684689255,5
mar,0.05,MissForest,MMP11,1.138152565290665,0.08259166341197836,0.918123544466855,0.04393946043109319,5
mar,0.05,MissForest,MYBL2,0.169229747923631,0.005695803717750164,0.1314307735786624,0.005576027325524662,5
mar,0.05,MissForest,MYC,0.8836176088324896,0.054234051191987175,0.7012532071218651,0.04652117315330665,5
mar,0.05,MissForest,NAT1,1.1922809474717764,0.1357290771450493,0.888425876693441,0.12444132415634485,5
mar,0.05,MissForest,NDC80,0.24742105792867228,0.01491494193186768,0.1896454463347787,0.012255628919184854,5
mar,0.05,MissForest,NUF2,0.29134604519789276,0.0560975490240439,0.20819463930746962,0.03211377264386947,5
mar,0.05,MissForest,ORC6,0.4102449765703958,0.041289820212173436,0.3312791654498805,0.038740723234946574,5
mar,0.05,MissForest,PGR,0.8459638768154185,0.07566855755371803,0.6176750261598296,0.05908091953195193,5
mar,0.05,MissForest,PHGDH,0.9442437523267888,0.0660507472625566,0.7365878632599651,0.05349440983332533,5
mar,0.05,MissForest,PTTG1,0.3748039111319399,0.0290754464612547,0.28917304061816174,0.02690056645403829,5
mar,0.05,MissForest,RRM2,0.3723412436213299,0.03790815546979801,0.28288155125477604,0.029132362182101766,5
mar,0.05,MissForest,SFRP1,1.0487345804851795,0.10052174114402503,0.7545498603309803,0.07752552132566196,5
mar,0.05,MissForest,SLC39A6,0.9828794172211257,0.06022418636651957,0.7881009277246174,0.044478528247475516,5
mar,0.05,MissForest,TMEM45B,0.4465298226895002,0.030051196802287145,0.33418137214271065,0.013432678925743603,5
mar,0.05,MissForest,TYMS,0.5229851755211131,0.04350760958011948,0.41405827824695185,0.044040740101490033,5
mar,0.05,MissForest,UBE2C,0.4327045865387505,0.05197229709605731,0.3390903061733822,0.03916169638159258,5
mar,0.05,MissForest,UBE2T,0.38084078269959215,0.056694982124648394,0.30466758798392235,0.04397111922446197,5
mar,0.1,KNN,ACTR3B,0.5873271298959833,0.03332843601800743,0.3854685433103272,0.03957706317838501,5
mar,0.1,KNN,ANLN,0.3403056181336004,0.019404892494727047,0.255377645143897,0.006589210537342394,5
mar,0.1,KNN,BAG1,0.3376029743867626,0.041967619399510374,0.24506038202690678,0.01880440625013124,5
mar,0.1,KNN,BCL2,0.6977596727447088,0.03520423270296901,0.540718488636364,0.01840396541430695,5
