imputer,missing_rate,replicate,rmse_mean,rmse_std,mae_mean,mae_std,folds,total_masked_test_values
RFECA_SVR(k=5),0.2,6,2.088136601845305,0.18145989880686372,1.4244062475872885,0.12534852093438384,5,1108
RFECA_SVR(k=10),0.2,6,2.220912065697111,0.23240324668653428,1.5543384936225562,0.1545512047879527,5,1108
RFECA_SVR(k=20),0.2,6,2.597172604417982,0.41426276775887244,1.8054213001112067,0.25011547250231336,5,1108
SimpleMean,0.2,7,2.7091462383192506,0.2180819912628525,1.9662995544234732,0.17956348914693065,5,1159
"KNN(k=5,dist)",0.2,7,2.0972778114483903,0.14672812546096914,1.4153212001356412,0.05050448018350874,5,1159
RFECA_SVR(k=5),0.2,7,2.073549000435347,0.17546410528075349,1.4350098012255397,0.06427352716984783,5,1159
RFECA_SVR(k=10),0.2,7,2.235490889074541,0.2650210272900266,1.5591468635176429,0.11005158013793066,5,1159
RFECA_SVR(k=20),0.2,7,2.5795604162727024,0.23366939578537943,1.797525237940442,0.1542593214571221,5,1159
SimpleMean,0.2,8,2.7647234058588146,0.25957293754517974,2.0290027471006282,0.19768399595494993,5,1185
"KNN(k=5,dist)",0.2,8,2.0698883881956496,0.31402568613323656,1.41140760391082,0.14162817108069775,5,1185
RFECA_SVR(k=5),0.2,8,2.1829679997970057,0.2829189644418013,1.4778071193599716,0.13304844084433276,5,1185
RFECA_SVR(k=10),0.2,8,2.3622461435677438,0.3387500805268819,1.6030538070997937,0.1549140066741531,5,1185
RFECA_SVR(k=20),0.2,8,2.6396658209534265,0.3286660065928335,1.8611908474711876,0.16650951561599256,5,1185
SimpleMean,0.2,9,2.622410168479886,0.1425689301166713,1.9819149116832975,0.11207795729901271,5,1199
"KNN(k=5,dist)",0.2,9,1.993606729501204,0.17579941354198622,1.3702725005989156,0.049248769046912826,5,1199
RFECA_SVR(k=5),0.2,9,2.1744543806758525,0.252873029680121,1.4431554849064114,0.10226223210048677,5,1199
RFECA_SVR(k=10),0.2,9,2.326731639294003,0.25932180036082747,1.5722695130002968,0.10555283269244098,5,1199
RFECA_SVR(k=20),0.2,9,2.5379593317757565,0.2632376749028781,1.7438263298004084,0.10438038114235004,5,1199
SimpleMean,0.3,0,2.785589555203182,0.06988522219928169,2.067558546071803,0.07532185388398273,5,1797
"KNN(k=5,dist)",0.3,0,2.07571343436114,0.09786874403134005,1.441629774040042,0.03842179283937055,5,1797
RFECA_SVR(k=5),0.3,0,2.220349025771518,0.0955460167598848,1.5211811744203347,0.10306377313031001,5,1797
RFECA_SVR(k=10),0.3,0,2.5560984576946746,0.18291958179725223,1.7719092128988596,0.09515326810531143,5,1797
RFECA_SVR(k=20),0.3,0,2.9296858810492568,0.24297279081244866,2.0281574707330696,0.13251261164265846,5,1797
SimpleMean,0.3,1,2.7957791764736637,0.1737903010253947,2.0658162424526836,0.13064896632697834,5,1724
"KNN(k=5,dist)",0.3,1,2.083470739478705,0.15669458027441918,1.4079360537841767,0.07745171641974541,5,1724
RFECA_SVR(k=5),0.3,1,2.288173224836755,0.18348293990634504,1.5716222090174576,0.06829120478950972,5,1724
RFECA_SVR(k=10),0.3,1,2.6848763369184088,0.37335709771933817,1.7882486606445624,0.12676289809435468,5,1724
RFECA_SVR(k=20),0.3,1,2.987198885927019,0.23619824906002065,2.0374866855556446,0.062480091031140675,5,1724
SimpleMean,0.3,2,2.823869443573371,0.14653182746130775,2.046129812650519,0.11733675575492734,5,1747
"KNN(k=5,dist)",0.3,2,2.2585035547391015,0.15393152018054104,1.4611822415509201,0.057884139007572784,5,1747
RFECA_SVR(k=5),0.3,2,2.2960370250512603,0.1874758205570673,1.5714269435019033,0.07936814591399187,5,1747
RFECA_SVR(k=10),0.3,2,2.553143158252464,0.1879072139498035,1.7537857329412474,0.12440299439149102,5,1747
RFECA_SVR(k=20),0.3,2,2.8875117867464573,0.3044030095320451,1.9498992268128057,0.19467950841837037,5,1747
SimpleMean,0.3,3,2.778320872422158,0.15702340625173575,2.055787401393476,0.14935333004388493,5,1767
"KNN(k=5,dist)",0.3,3,2.088990516469412,0.1422721063105577,1.4584607910265484,0.11153246928907126,5,1767
RFECA_SVR(k=5),0.3,3,2.233622467303116,0.17876145994886183,1.5285980382191366,0.11160054777368192,5,1767
RFECA_SVR(k=10),0.3,3,2.49180871158265,0.1610130114614518,1.6890789407214535,0.11302206741566057,5,1767
RFECA_SVR(k=20),0.3,3,2.8125044843922304,0.21373104623034128,1.9252957581209327,0.099739095870646,5,1767
SimpleMean,0.3,4,2.8302212346695153,0.09214882267003334,2.0697662031438666,0.05776723265746497,5,1779
"KNN(k=5,dist)",0.3,4,2.2734257897378813,0.15150929331285512,1.5388357204101446,0.06431814921013199,5,1779
RFECA_SVR(k=5),0.3,4,2.433971923412374,0.08268293219477127,1.630208069310384,0.05958782377749501,5,1779
RFECA_SVR(k=10),0.3,4,2.5887222172992983,0.14123339882551522,1.7958884910814508,0.042262889971962286,5,1779
RFECA_SVR(k=20),0.3,4,2.8916145444134047,0.2015400612892678,2.0150552056687614,0.0926674033515341,5,1779
SimpleMean,0.3,5,2.753685358631953,0.1649924569174483,2.00586368729744,0.08271238238218277,5,1739
"KNN(k=5,dist)",0.3,5,2.0682375298803763,0.165700060834107,1.3914859894168192,0.10540135286114635,5,1739
RFECA_SVR(k=5),0.3,5,2.399381313811851,0.24507808569291162,1.5808442142647183,0.0941436693615952,5,1739
RFECA_SVR(k=10),0.3,5,2.6078135772760986,0.31175421340531345,1.7508807042943375,0.15944676747211042,5,1739
RFECA_SVR(k=20),0.3,5,2.885046324245141,0.18738248786296582,1.941216880968875,0.08294735722799296,5,1739
SimpleMean,0.3,6,2.784455861297715,0.059783592926791404,2.025065769534362,0.040488091928935314,5,1785
"KNN(k=5,dist)",0.3,6,2.1020898673340787,0.06830654362465707,1.4409814624907515,0.04408147553039112,5,1785
RFECA_SVR(k=5),0.3,6,2.2491814884906627,0.058046815660727905,1.5407449240665723,0.02653796820437151,5,1785
RFECA_SVR(k=10),0.3,6,2.478008103223469,0.11543893156435639,1.712608177529669,0.10765848367888399,5,1785
RFECA_SVR(k=20),0.3,6,2.7662667541602617,0.0870128492436043,1.951850175810042,0.06243687013606724,5,1785
SimpleMean,0.3,7,2.862876116775646,0.09102115281017728,2.082026569567404,0.04554290714159404,5,1736
"KNN(k=5,dist)",0.3,7,2.227567612167725,0.11910794205718661,1.4868008156526789,0.03872782609696204,5,1736
RFECA_SVR(k=5),0.3,7,2.322339069896541,0.12851672068333073,1.5477742970469672,0.0633184344127366,5,1736
RFECA_SVR(k=10),0.3,7,2.5132185380408765,0.14109707827177573,1.691908520866929,0.04633384168091645,5,1736
RFECA_SVR(k=20),0.3,7,2.9406541392427115,0.12437986093647184,1.9728509197512878,0.0615836777711404,5,1736
SimpleMean,0.3,8,2.8160664813292007,0.15640633861898834,2.044742280808003,0.10714570724183545,5,1745
"KNN(k=5,dist)",0.3,8,2.099520919923958,0.16489671996629476,1.4380257948535018,0.10688572795376246,5,1745
RFECA_SVR(k=5),0.3,8,2.310585843191658,0.23732958011082173,1.6012429021621764,0.09786574953011351,5,1745
RFECA_SVR(k=10),0.3,8,2.586521758832852,0.2260541807293278,1.7917580825896011,0.14819236143614603,5,1745
RFECA_SVR(k=20),0.3,8,3.044044365703436,0.2948534110652665,2.0947093625745765,0.18868688587659482,5,1745
SimpleMean,0.3,9,2.802905159846341,0.06944881088551152,2.0407939187474975,0.08204482456455142,5,1701
"KNN(k=5,dist)",0.3,9,2.135910727526732,0.10317936476012135,1.437445291424139,0.04363509572098758,5,1701
RFECA_SVR(k=5),0.3,9,2.277271899295573,0.19216665600147692,1.5754324875141363,0.1509391392807121,5,1701
RFECA_SVR(k=10),0.3,9,2.5516129990660863,0.1870026900337865,1.7333841095139935,0.1371762427237232,5,1701
RFECA_SVR(k=20),0.3,9,2.9028028292749712,0.24766094308681796,1.9864719825601678,0.10062780306066006,5,1701
