dataset,mechanism,missing_rate,method,metric,n_replications,mean,std,median,iqr,ci95_low,ci95_high
CPTAC 2C,MAR,0.05,RFECA-k10,corr_mae_offdiag,10,0.03604538994214811,0.002288498653296909,0.03535396270592691,0.0025853142554355113,0.0344082966262076,0.037682483258088616
CPTAC 2C,MAR,0.05,RFECA-k20,corr_mae_offdiag,10,0.04093906300806204,0.002866998141104678,0.04113562972664842,0.004284093928412343,0.03888813608841775,0.042989989927706335
CPTAC 2C,MAR,0.05,MissForest,corr_mae_offdiag,10,0.028995206542770963,0.001289820686782308,0.02937802179535004,0.0016836038372331809,0.028072524407017414,0.02991788867852451
CPTAC 2C,MAR,0.1,Mean,corr_mae_offdiag,10,0.0809054952765728,0.001959392657999196,0.08124138585501064,0.002328482036564619,0.07950383020716485,0.08230716034598075
CPTAC 2C,MAR,0.1,KNN,corr_mae_offdiag,10,0.05288265718507136,0.0018522970848947693,0.05315807349644831,0.000797883248868779,0.051557603673482555,0.054207710696660166
CPTAC 2C,MAR,0.1,RFECA-k5,corr_mae_offdiag,10,0.05456293646008337,0.0023261474956356716,0.054905926401261324,0.0036889876229248067,0.052898910784774024,0.05622696213539271
CPTAC 2C,MAR,0.1,RFECA-k10,corr_mae_offdiag,10,0.059076545471203036,0.0028594006852978283,0.05916838570313454,0.0032176275590249104,0.057031053444037985,0.06112203749836809
CPTAC 2C,MAR,0.1,RFECA-k20,corr_mae_offdiag,10,0.0674175238531889,0.0038188913121037786,0.06891589314136976,0.005657260324204841,0.06468565357992409,0.07014939412645371
CPTAC 2C,MAR,0.1,MissForest,corr_mae_offdiag,10,0.0465579032437316,0.001905106889182626,0.04707702343421307,0.001795384581962857,0.04519507187394252,0.047920734613520685
CPTAC 2C,MAR,0.2,Mean,corr_mae_offdiag,10,0.12862262778531058,0.0036531521081872623,0.1295571740907276,0.005741578752969628,0.12600932019615754,0.13123593537446362
CPTAC 2C,MAR,0.2,KNN,corr_mae_offdiag,10,0.07937409256036608,0.0030442236125607816,0.07880138310025527,0.0021226688710990482,0.07719638617580175,0.0815517989449304
CPTAC 2C,MAR,0.2,RFECA-k5,corr_mae_offdiag,10,0.08570396528142155,0.003739294585339799,0.08541099545468817,0.0031183272021205882,0.08302903507634,0.08837889548650309
CPTAC 2C,MAR,0.2,RFECA-k10,corr_mae_offdiag,10,0.0924217658948007,0.0027496716885205548,0.09241702738253277,0.003264887673303102,0.0904547692632655,0.09438876252633589
CPTAC 2C,MAR,0.2,RFECA-k20,corr_mae_offdiag,10,0.10918976114235772,0.0024828741616273833,0.1096206906293939,0.0018297139860232597,0.10741361996418144,0.110965902320534
CPTAC 2C,MAR,0.2,MissForest,corr_mae_offdiag,10,0.0686613210931388,0.0020817469745491373,0.06875884088508834,0.002643321934300391,0.06717212901841153,0.07015051316786607
CPTAC 2C,MAR,0.3,Mean,corr_mae_offdiag,10,0.16915442596795754,0.0032425891943112027,0.16986684431475468,0.003488824265770213,0.16683481739458117,0.17147403454133392
