stage,imputer,missing_rate,replicate,fold,n_train,n_test,train_test_overlap,imputer_object_id,correlation_source,has_corr_csv_path
classification,RFECA_SVR(k=5),0.1,9,5,94,23,0,1866534907344,training_fold_X.corr(),False
classification,RFECA_SVR(k=10),0.1,9,1,93,24,0,1866535277232,training_fold_X.corr(),False
classification,RFECA_SVR(k=10),0.1,9,2,93,24,0,1866535597936,training_fold_X.corr(),False
classification,RFECA_SVR(k=10),0.1,9,3,94,23,0,1866536001264,training_fold_X.corr(),False
classification,RFECA_SVR(k=10),0.1,9,4,94,23,0,1866536305392,training_fold_X.corr(),False
classification,RFECA_SVR(k=10),0.1,9,5,94,23,0,1866536609488,training_fold_X.corr(),False
classification,RFECA_SVR(k=20),0.1,9,1,93,24,0,1866536963216,training_fold_X.corr(),False
classification,RFECA_SVR(k=20),0.1,9,2,93,24,0,1866553864976,training_fold_X.corr(),False
classification,RFECA_SVR(k=20),0.1,9,3,94,23,0,1866554215792,training_fold_X.corr(),False
classification,RFECA_SVR(k=20),0.1,9,4,94,23,0,1866554536272,training_fold_X.corr(),False
classification,RFECA_SVR(k=20),0.1,9,5,94,23,0,1866554873616,training_fold_X.corr(),False
imputation,SimpleMean,0.2,0,1,93,24,0,1866472068688,n/a,False
imputation,SimpleMean,0.2,0,2,93,24,0,1866472068336,n/a,False
imputation,SimpleMean,0.2,0,3,94,23,0,1866472070800,n/a,False
imputation,SimpleMean,0.2,0,4,94,23,0,1866472070272,n/a,False
imputation,SimpleMean,0.2,0,5,94,23,0,1866472065168,n/a,False
imputation,"KNN(k=5,dist)",0.2,0,1,93,24,0,1866536703312,n/a,False
imputation,"KNN(k=5,dist)",0.2,0,2,93,24,0,1866536369616,n/a,False
imputation,"KNN(k=5,dist)",0.2,0,3,94,23,0,1866368544080,n/a,False
imputation,"KNN(k=5,dist)",0.2,0,4,94,23,0,1866554619280,n/a,False
imputation,"KNN(k=5,dist)",0.2,0,5,94,23,0,1866554953168,n/a,False
imputation,RFECA_SVR(k=5),0.2,0,1,93,24,0,1866554873392,training_fold_X.corr(),False
imputation,RFECA_SVR(k=5),0.2,0,2,93,24,0,1866554872944,training_fold_X.corr(),False
imputation,RFECA_SVR(k=5),0.2,0,3,94,23,0,1866554873168,training_fold_X.corr(),False
imputation,RFECA_SVR(k=5),0.2,0,4,94,23,0,1866555210928,training_fold_X.corr(),False
imputation,RFECA_SVR(k=5),0.2,0,5,94,23,0,1866555211152,training_fold_X.corr(),False
imputation,RFECA_SVR(k=10),0.2,0,1,93,24,0,1866555210480,training_fold_X.corr(),False
imputation,RFECA_SVR(k=10),0.2,0,2,93,24,0,1866555211376,training_fold_X.corr(),False
imputation,RFECA_SVR(k=10),0.2,0,3,94,23,0,1866555210704,training_fold_X.corr(),False
imputation,RFECA_SVR(k=10),0.2,0,4,94,23,0,1866555210256,training_fold_X.corr(),False
imputation,RFECA_SVR(k=10),0.2,0,5,94,23,0,1866555376144,training_fold_X.corr(),False
imputation,RFECA_SVR(k=20),0.2,0,1,93,24,0,1866555376368,training_fold_X.corr(),False
imputation,RFECA_SVR(k=20),0.2,0,2,93,24,0,1866555376592,training_fold_X.corr(),False
imputation,RFECA_SVR(k=20),0.2,0,3,94,23,0,1866555376816,training_fold_X.corr(),False
imputation,RFECA_SVR(k=20),0.2,0,4,94,23,0,1866555377040,training_fold_X.corr(),False
imputation,RFECA_SVR(k=20),0.2,0,5,94,23,0,1866555377264,training_fold_X.corr(),False
classification,SimpleMean,0.2,0,1,93,24,0,1866472071152,n/a,False
classification,SimpleMean,0.2,0,2,93,24,0,1866472072208,n/a,False
classification,SimpleMean,0.2,0,3,94,23,0,1866472072560,n/a,False
classification,SimpleMean,0.2,0,4,94,23,0,1866472072912,n/a,False
classification,SimpleMean,0.2,0,5,94,23,0,1866472073264,n/a,False
classification,"KNN(k=5,dist)",0.2,0,1,93,24,0,1866554953552,n/a,False
classification,"KNN(k=5,dist)",0.2,0,2,93,24,0,1866556836560,n/a,False
classification,"KNN(k=5,dist)",0.2,0,3,94,23,0,1866557154192,n/a,False
classification,"KNN(k=5,dist)",0.2,0,4,94,23,0,1866557471824,n/a,False
classification,"KNN(k=5,dist)",0.2,0,5,94,23,0,1866557805904,n/a,False
classification,RFECA_SVR(k=5),0.2,0,1,93,24,0,1866575311632,training_fold_X.corr(),False
classification,RFECA_SVR(k=5),0.2,0,2,93,24,0,1866575599824,training_fold_X.corr(),False
classification,RFECA_SVR(k=5),0.2,0,3,94,23,0,1866575918064,training_fold_X.corr(),False
classification,RFECA_SVR(k=5),0.2,0,4,94,23,0,1866576255856,training_fold_X.corr(),False
classification,RFECA_SVR(k=5),0.2,0,5,94,23,0,1866576576112,training_fold_X.corr(),False
classification,RFECA_SVR(k=10),0.2,0,1,93,24,0,1866576929616,training_fold_X.corr(),False
classification,RFECA_SVR(k=10),0.2,0,2,93,24,0,1866577266960,training_fold_X.corr(),False
classification,RFECA_SVR(k=10),0.2,0,3,94,23,0,1866577604496,training_fold_X.corr(),False
classification,RFECA_SVR(k=10),0.2,0,4,94,23,0,1866577957776,training_fold_X.corr(),False
classification,RFECA_SVR(k=10),0.2,0,5,94,23,0,1866578245488,training_fold_X.corr(),False
classification,RFECA_SVR(k=20),0.2,0,1,93,24,0,1866578582832,training_fold_X.corr(),False
classification,RFECA_SVR(k=20),0.2,0,2,93,24,0,1866595550384,training_fold_X.corr(),False
