imputer,missing_rate,replicate,model,f1_macro,bal_acc
RFECA_SVR(k=20),0.2,0,EnsembleHard,0.9204256540560888,0.9125
RFECA_SVR(k=20),0.2,1,SVC,0.919947299077734,0.9083333333333334
RFECA_SVR(k=20),0.2,1,LogReg,0.8791523090436135,0.8791666666666667
RFECA_SVR(k=20),0.2,1,RF,0.8837351778656126,0.8749999999999998
RFECA_SVR(k=20),0.2,1,GB,0.7931194216411608,0.7821969696969697
RFECA_SVR(k=20),0.2,1,EnsembleSoft,0.9075439174352218,0.9041666666666666
RFECA_SVR(k=20),0.2,1,EnsembleHard,0.9129018445322794,0.9083333333333332
RFECA_SVR(k=20),0.2,2,SVC,0.909686972447842,0.8833333333333332
RFECA_SVR(k=20),0.2,2,LogReg,0.9233260869565217,0.9083333333333332
RFECA_SVR(k=20),0.2,2,RF,0.8985467720685112,0.890909090909091
RFECA_SVR(k=20),0.2,2,GB,0.766643525556569,0.764621212121212
RFECA_SVR(k=20),0.2,2,EnsembleSoft,0.9027178304787,0.8958333333333333
RFECA_SVR(k=20),0.2,2,EnsembleHard,0.9399927536231883,0.925
RFECA_SVR(k=20),0.2,3,SVC,0.9259726867335563,0.9083333333333332
RFECA_SVR(k=20),0.2,3,LogReg,0.9021725738030085,0.8871212121212121
RFECA_SVR(k=20),0.2,3,RF,0.8777389204997899,0.8625
RFECA_SVR(k=20),0.2,3,GB,0.723143523143523,0.7162878787878787
RFECA_SVR(k=20),0.2,3,EnsembleSoft,0.900679622310057,0.8833333333333332
RFECA_SVR(k=20),0.2,3,EnsembleHard,0.8809144116752812,0.8583333333333332
RFECA_SVR(k=20),0.2,4,SVC,0.8726538461538462,0.8583333333333332
RFECA_SVR(k=20),0.2,4,LogReg,0.8737809654114003,0.8621212121212121
RFECA_SVR(k=20),0.2,4,RF,0.8916420101637492,0.8867424242424242
RFECA_SVR(k=20),0.2,4,GB,0.7143140917053961,0.7272727272727273
RFECA_SVR(k=20),0.2,4,EnsembleSoft,0.8797483313787662,0.8787878787878787
RFECA_SVR(k=20),0.2,4,EnsembleHard,0.892639353400223,0.875
RFECA_SVR(k=20),0.2,5,SVC,0.9586594202898551,0.95
RFECA_SVR(k=20),0.2,5,LogReg,0.9435748792270531,0.9412878787878787
RFECA_SVR(k=20),0.2,5,RF,0.8674588744588745,0.8579545454545453
RFECA_SVR(k=20),0.2,5,GB,0.7973943447856491,0.7874999999999999
RFECA_SVR(k=20),0.2,5,EnsembleSoft,0.9227971955580652,0.9125
RFECA_SVR(k=20),0.2,5,EnsembleHard,0.9495165631469978,0.9375
RFECA_SVR(k=20),0.2,6,SVC,0.9044344785649132,0.8833333333333332
RFECA_SVR(k=20),0.2,6,LogReg,0.9214272321881017,0.9
RFECA_SVR(k=20),0.2,6,RF,0.8667921136834179,0.8575757575757577
RFECA_SVR(k=20),0.2,6,GB,0.8547831299135646,0.8371212121212122
RFECA_SVR(k=20),0.2,6,EnsembleSoft,0.906280632411067,0.8916666666666666
RFECA_SVR(k=20),0.2,6,EnsembleHard,0.9044344785649132,0.8833333333333332
RFECA_SVR(k=20),0.2,7,SVC,0.8778572779877128,0.8537878787878789
RFECA_SVR(k=20),0.2,7,LogReg,0.9017092038396386,0.8829545454545453
RFECA_SVR(k=20),0.2,7,RF,0.8837921136834179,0.8825757575757576
RFECA_SVR(k=20),0.2,7,GB,0.6655915750915751,0.6642424242424243
RFECA_SVR(k=20),0.2,7,EnsembleSoft,0.8881083916083916,0.8704545454545455
RFECA_SVR(k=20),0.2,7,EnsembleHard,0.90510114523158,0.8871212121212121
RFECA_SVR(k=20),0.2,8,SVC,0.9495165631469978,0.9375
RFECA_SVR(k=20),0.2,8,LogReg,0.8721139657444004,0.875
RFECA_SVR(k=20),0.2,8,RF,0.8650042348955391,0.8575757575757577
RFECA_SVR(k=20),0.2,8,GB,0.641146742146742,0.656439393939394
RFECA_SVR(k=20),0.2,8,EnsembleSoft,0.8955511638120335,0.8875
RFECA_SVR(k=20),0.2,8,EnsembleHard,0.9214799331103679,0.9083333333333332
RFECA_SVR(k=20),0.2,9,SVC,0.9022843750452447,0.8875
RFECA_SVR(k=20),0.2,9,LogReg,0.9095794061011452,0.8992424242424242
RFECA_SVR(k=20),0.2,9,RF,0.8916420101637492,0.8867424242424242
RFECA_SVR(k=20),0.2,9,GB,0.7922498154019892,0.7954545454545454
RFECA_SVR(k=20),0.2,9,EnsembleSoft,0.88913777526821,0.8791666666666667
RFECA_SVR(k=20),0.2,9,EnsembleHard,0.9022843750452447,0.8875
RFECA_SVR(k=20),0.3,0,SVC,0.9117870945479641,0.8941666666666667
RFECA_SVR(k=20),0.3,0,LogReg,0.8209243775548123,0.8149999999999998
RFECA_SVR(k=20),0.3,0,RF,0.8631399397703745,0.8537878787878788
RFECA_SVR(k=20),0.3,0,GB,0.6819991087817174,0.6863636363636364
RFECA_SVR(k=20),0.3,0,EnsembleSoft,0.8337433122433122,0.8246212121212121
RFECA_SVR(k=20),0.3,0,EnsembleHard,0.8652605655214352,0.8458333333333332
RFECA_SVR(k=20),0.3,1,SVC,0.8864472990777339,0.875
RFECA_SVR(k=20),0.3,1,LogReg,0.9147004830917874,0.9083333333333332
RFECA_SVR(k=20),0.3,1,RF,0.8544545454545455,0.8583333333333332
RFECA_SVR(k=20),0.3,1,GB,0.6319331048761334,0.6466666666666667
RFECA_SVR(k=20),0.3,1,EnsembleSoft,0.8667250768555116,0.8541666666666666
RFECA_SVR(k=20),0.3,1,EnsembleHard,0.8864472990777339,0.875
RFECA_SVR(k=20),0.3,2,SVC,0.8354970826275174,0.8204545454545455
RFECA_SVR(k=20),0.3,2,LogReg,0.8446142987447335,0.8492424242424242
RFECA_SVR(k=20),0.3,2,RF,0.8619797352406048,0.8496212121212121
RFECA_SVR(k=20),0.3,2,GB,0.7725620997360128,0.7738636363636363
RFECA_SVR(k=20),0.3,2,EnsembleSoft,0.8768542254846603,0.8787878787878787
RFECA_SVR(k=20),0.3,2,EnsembleHard,0.8649869816174164,0.8621212121212121
RFECA_SVR(k=20),0.3,3,SVC,0.8801538461538462,0.8583333333333334
RFECA_SVR(k=20),0.3,3,LogReg,0.9000303126824866,0.8896212121212121
RFECA_SVR(k=20),0.3,3,RF,0.8636860844469538,0.8666666666666666
RFECA_SVR(k=20),0.3,3,GB,0.7938358308358309,0.790530303030303
RFECA_SVR(k=20),0.3,3,EnsembleSoft,0.9229472990777339,0.9083333333333332
RFECA_SVR(k=20),0.3,3,EnsembleHard,0.9203498964803313,0.9041666666666666
RFECA_SVR(k=20),0.3,4,SVC,0.8534216580520928,0.8333333333333334
RFECA_SVR(k=20),0.3,4,LogReg,0.8267788009092356,0.8125
RFECA_SVR(k=20),0.3,4,RF,0.8603010323010324,0.8454545454545455
RFECA_SVR(k=20),0.3,4,GB,0.6743158290984377,0.6738636363636363
RFECA_SVR(k=20),0.3,4,EnsembleSoft,0.7986197136197137,0.7829545454545455
RFECA_SVR(k=20),0.3,4,EnsembleHard,0.8227659803964154,0.8041666666666666
RFECA_SVR(k=20),0.3,5,SVC,0.8902699764004112,0.8666666666666666
RFECA_SVR(k=20),0.3,5,LogReg,0.8894835719835721,0.8992424242424242
RFECA_SVR(k=20),0.3,5,RF,0.8653544643762036,0.8537878787878788
RFECA_SVR(k=20),0.3,5,GB,0.7484267809485201,0.739621212121212
RFECA_SVR(k=20),0.3,5,EnsembleSoft,0.9077359717577108,0.9083333333333334
RFECA_SVR(k=20),0.3,5,EnsembleHard,0.9039510417119112,0.8875
RFECA_SVR(k=20),0.3,6,SVC,0.9255238095238095,0.9041666666666666
RFECA_SVR(k=20),0.3,6,LogReg,0.9251204278812974,0.9166666666666666
RFECA_SVR(k=20),0.3,6,RF,0.8703700043917435,0.8621212121212121
RFECA_SVR(k=20),0.3,6,GB,0.720578612209047,0.7166666666666666
RFECA_SVR(k=20),0.3,6,EnsembleSoft,0.9251204278812974,0.9166666666666666
RFECA_SVR(k=20),0.3,6,EnsembleHard,0.9328498964803312,0.9208333333333332
RFECA_SVR(k=20),0.3,7,SVC,0.9027250768555115,0.8833333333333332
RFECA_SVR(k=20),0.3,7,LogReg,0.8816492565405609,0.8825757575757576
RFECA_SVR(k=20),0.3,7,RF,0.8799949181253529,0.8666666666666666
RFECA_SVR(k=20),0.3,7,GB,0.8092772227772228,0.7996212121212121
RFECA_SVR(k=20),0.3,7,EnsembleSoft,0.9139582880887229,0.8958333333333333
RFECA_SVR(k=20),0.3,7,EnsembleHard,0.8944344785649132,0.8833333333333332
RFECA_SVR(k=20),0.3,8,SVC,0.881499738226125,0.8524999999999998
RFECA_SVR(k=20),0.3,8,LogReg,0.8982772227772229,0.8867424242424242
RFECA_SVR(k=20),0.3,8,RF,0.8843844971453667,0.8833333333333332
RFECA_SVR(k=20),0.3,8,GB,0.7420143745143745,0.7409848484848485
RFECA_SVR(k=20),0.3,8,EnsembleSoft,0.8572144208448556,0.8412878787878787
RFECA_SVR(k=20),0.3,8,EnsembleHard,0.8855749733358429,0.8625
RFECA_SVR(k=20),0.3,9,SVC,0.8762836849141197,0.8729545454545453
RFECA_SVR(k=20),0.3,9,LogReg,0.8929804253717297,0.8912878787878787
RFECA_SVR(k=20),0.3,9,RF,0.8346729719555807,0.824242424242424
RFECA_SVR(k=20),0.3,9,GB,0.7011320346320347,0.7276515151515152
RFECA_SVR(k=20),0.3,9,EnsembleSoft,0.8875771378380074,0.8871212121212121
RFECA_SVR(k=20),0.3,9,EnsembleHard,0.8911399397703745,0.8829545454545453
