experiment,imputer,missing_rate,model,f1_mean,f1_std,bal_mean,bal_std,f1_pm_std,bal_pm_std,n
k10_scaler,RFECA_SVR(k=10),0.2,SVC,0.9282065383891472,0.0201533310842861,0.915378787878788,0.0215270927643613,0.9282 ± 0.0202,0.9154 ± 0.0215,10
k10_scaler,RFECA_SVR(k=10),0.2,EnsembleHard,0.91630031128292,0.0150115322366154,0.9028787878787876,0.0191929159762411,0.9163 ± 0.0150,0.9029 ± 0.0192,10
k10_scaler,RFECA_SVR(k=10),0.2,EnsembleSoft,0.9131917247004204,0.0179576234996591,0.9039772727272728,0.0216091762172009,0.9132 ± 0.0180,0.9040 ± 0.0216,10
k10_scaler,RFECA_SVR(k=10),0.2,LogReg,0.8985795615013007,0.0199948885734334,0.8934090909090908,0.0209338712768579,0.8986 ± 0.0200,0.8934 ± 0.0209,10
k10_scaler,RFECA_SVR(k=10),0.2,RF,0.8829075287031808,0.0163223918783499,0.8762121212121212,0.0173791687540273,0.8829 ± 0.0163,0.8762 ± 0.0174,10
k10_scaler,RFECA_SVR(k=10),0.2,GB,0.7646918653809959,0.0428611351959138,0.7474318181818181,0.0423328357815492,0.7647 ± 0.0429,0.7474 ± 0.0423,10
k10_scaler,RFECA_SVR(k=10),0.3,EnsembleHard,0.9026373797699884,0.0251799022474854,0.886969696969697,0.0226888002092038,0.9026 ± 0.0252,0.8870 ± 0.0227,10
k10_scaler,RFECA_SVR(k=10),0.3,EnsembleSoft,0.8986317790904748,0.0217324639478304,0.8855151515151516,0.0219352685073453,0.8986 ± 0.0217,0.8855 ± 0.0219,10
k10_scaler,RFECA_SVR(k=10),0.3,SVC,0.8925837876738176,0.0276192086876545,0.8735909090909091,0.0289163181219395,0.8926 ± 0.0276,0.8736 ± 0.0289,10
k10_scaler,RFECA_SVR(k=10),0.3,LogReg,0.8893914286196895,0.0256098069637673,0.8821666666666668,0.0239225050172718,0.8894 ± 0.0256,0.8822 ± 0.0239,10
k10_scaler,RFECA_SVR(k=10),0.3,RF,0.868261993320689,0.0271032073687494,0.8595454545454544,0.0249871153410723,0.8683 ± 0.0271,0.8595 ± 0.0250,10
k10_scaler,RFECA_SVR(k=10),0.3,GB,0.7532180183745402,0.0535819936664524,0.7444621212121212,0.0471168739274262,0.7532 ± 0.0536,0.7445 ± 0.0471,10
k20_scaler,RFECA_SVR(k=20),0.0,EnsembleSoft,0.9419927536231884,0.0,0.9333333333333332,0.0,0.9420 ± 0.0000,0.9333 ± 0.0000,10
k20_scaler,RFECA_SVR(k=20),0.0,SVC,0.9319400527009222,0.0,0.925,0.0,0.9319 ± 0.0000,0.9250 ± 0.0000,10
k20_scaler,RFECA_SVR(k=20),0.0,EnsembleHard,0.9274472990777338,0.0,0.925,0.0,0.9274 ± 0.0000,0.9250 ± 0.0000,10
k20_scaler,RFECA_SVR(k=20),0.0,RF,0.9152733860342556,0.0,0.9083333333333334,0.0,0.9153 ± 0.0000,0.9083 ± 0.0000,10
k20_scaler,RFECA_SVR(k=20),0.0,LogReg,0.9149559257167952,0.0,0.9079545454545452,0.0,0.9150 ± 0.0000,0.9080 ± 0.0000,10
k20_scaler,RFECA_SVR(k=20),0.0,GB,0.8042421210029905,0.0,0.7833333333333333,0.0,0.8042 ± 0.0000,0.7833 ± 0.0000,10
