dataset,mechanism,missing_rate,method,metric,n_replications,mean,std,median,iqr,ci95_low,ci95_high
CPTAC 2C,MCAR,0.05,MissForest,precision_macro,10,0.959760989010989,0.009791970621643258,0.9586904761904762,0.011298076923076938,0.9527562352037346,0.9667657428182435
CPTAC 2C,MCAR,0.1,Mean,precision_macro,10,0.9605934065934066,0.014105626051792537,0.9623443223443222,0.015922619047618936,0.9505028495842172,0.9706839636025961
CPTAC 2C,MCAR,0.1,KNN,precision_macro,10,0.9630750915750916,0.010134613357336095,0.9623443223443222,0.01432692307692307,0.9558252259205787,0.9703249572296045
CPTAC 2C,MCAR,0.1,MissForest,precision_macro,10,0.9580057442557444,0.01353752564303649,0.9581776556776558,0.019037004662004642,0.9483215817972432,0.9676899067142455
CPTAC 2C,MCAR,0.2,Mean,precision_macro,10,0.9400427072927074,0.01783431826941279,0.9418315018315018,0.026476648351648424,0.9272848045554042,0.9528006100300107
CPTAC 2C,MCAR,0.2,KNN,precision_macro,10,0.9487707292707294,0.025941243452801504,0.9517382617382617,0.034706959706959695,0.9302134816173016,0.9673279769241572
CPTAC 2C,MCAR,0.2,MissForest,precision_macro,10,0.9456595904095904,0.016769350820587413,0.9460010822510823,0.022772435897435828,0.9336635194914383,0.9576556613277424
CPTAC 2C,MCAR,0.3,Mean,precision_macro,10,0.9317496669996672,0.026920350140401544,0.9318802031302031,0.04312499999999997,0.9124920086155827,0.9510073253837518
CPTAC 2C,MCAR,0.3,KNN,precision_macro,10,0.9473882783882784,0.021814277673441164,0.9498076923076922,0.03082188644688655,0.9317832842058206,0.9629932725707363
CPTAC 2C,MCAR,0.3,MissForest,precision_macro,10,0.953723692973693,0.01114310818820211,0.9504882617382617,0.015625,0.9457523935772844,0.9616949923701016
CPTAC 2C,MCAR,0.0,Mean,recall_macro,10,0.8916666666666664,2.340555645717801e-16,0.8916666666666666,0.0,0.8916666666666662,0.8916666666666666
CPTAC 2C,MCAR,0.0,KNN,recall_macro,10,0.8916666666666664,2.340555645717801e-16,0.8916666666666666,0.0,0.8916666666666662,0.8916666666666666
CPTAC 2C,MCAR,0.0,MissForest,recall_macro,10,0.8916666666666664,2.340555645717801e-16,0.8916666666666666,0.0,0.8916666666666662,0.8916666666666666
CPTAC 2C,MCAR,0.05,Mean,recall_macro,10,0.9166287878787879,0.01304293540438125,0.91875,0.011458333333333348,0.9072984339631345,0.9259591417944413
CPTAC 2C,MCAR,0.05,KNN,recall_macro,10,0.9199999999999999,0.013721210039142734,0.9208333333333334,0.022916666666666696,0.9101844376402252,0.9298155623597747
CPTAC 2C,MCAR,0.05,MissForest,recall_macro,10,0.9158333333333335,0.01605353697422212,0.9208333333333334,0.022916666666666696,0.9043493247935683,0.9273173418730987
CPTAC 2C,MCAR,0.1,Mean,recall_macro,10,0.9053787878787878,0.015966906329816292,0.9018939393939394,0.015624999999999889,0.8939567511687669,0.9168008245888086
CPTAC 2C,MCAR,0.1,KNN,recall_macro,10,0.9157954545454544,0.010571507568371486,0.9166666666666666,0.010700757575757391,0.9082330535998987,0.9233578554910101
CPTAC 2C,MCAR,0.1,MissForest,recall_macro,10,0.9107575757575758,0.017189533241359738,0.9083333333333332,0.011837121212121215,0.8984609244429568,0.9230542270721948
CPTAC 2C,MCAR,0.2,Mean,recall_macro,10,0.8798863636363636,0.019440713599837057,0.8770833333333334,0.02821969696969695,0.8659793149057223,0.8937934123670049
