mechanism,missing_rate,method,metric,mean,std,ci95_low,ci95_high,n_replications
MCAR,0.1,MissForest,recall_macro,0.869314236255828,0.004397453209314322,0.8661684877338622,0.8724599847777939,10
MCAR,0.2,Mean,bal_acc,0.8568806092281701,0.0042507166808260135,0.8538398296952165,0.8599213887611237,10
MCAR,0.2,KNN,bal_acc,0.8595983667594707,0.004831658535857857,0.8561420064585527,0.8630547270603887,10
MCAR,0.2,RFECA-k5,bal_acc,0.8605203293710997,0.0052472472149578345,0.8567666748385443,0.8642739839036551,10
MCAR,0.2,RFECA-k10,bal_acc,0.8607514740287527,0.005499627224196482,0.8568172777136596,0.8646856703438459,10
MCAR,0.2,RFECA-k20,bal_acc,0.8654577676638011,0.00477728656647092,0.8620403027266753,0.8688752326009269,10
MCAR,0.2,MissForest,bal_acc,0.8646195181227274,0.005258266039429784,0.8608579811979903,0.8683810550474645,10
MCAR,0.2,Mean,f1_macro,0.8660736598153809,0.004159504448188619,0.8630981295829534,0.8690491900478083,10
MCAR,0.2,KNN,f1_macro,0.8691416635535306,0.004532914054715039,0.8658990121803187,0.8723843149267425,10
MCAR,0.2,RFECA-k5,f1_macro,0.8699658920139648,0.005051837054286583,0.8663520254893424,0.8735797585385872,10
MCAR,0.2,RFECA-k10,f1_macro,0.8699883418704252,0.005534970535338888,0.8660288624736263,0.873947821267224,10
MCAR,0.2,RFECA-k20,f1_macro,0.8748686891553614,0.004151811698738017,0.8718986619843794,0.8778387163263435,10
MCAR,0.2,MissForest,f1_macro,0.8741775961522379,0.004862578580610748,0.870699116983773,0.8776560753207028,10
MCAR,0.2,Mean,precision_macro,0.8792443317941148,0.004201330900130576,0.8762388807204384,0.8822497828677911,10
MCAR,0.2,KNN,precision_macro,0.8832413475939556,0.0046623162360576965,0.8799061274766725,0.8865765677112386,10
MCAR,0.2,RFECA-k5,precision_macro,0.8834770648271316,0.00468966892563406,0.8801222777744633,0.8868318518798,10
MCAR,0.2,RFECA-k10,precision_macro,0.8835774384828639,0.005639526498496765,0.8795431642557596,0.8876117127099681,10
MCAR,0.2,RFECA-k20,precision_macro,0.8882367696758473,0.0033777758387810814,0.8858204544027544,0.8906530849489402,10
MCAR,0.2,MissForest,precision_macro,0.8877717997310555,0.0043529681685872635,0.8846578738901861,0.8908857255719248,10
MCAR,0.2,Mean,recall_macro,0.8568806092281701,0.0042507166808260135,0.8538398296952165,0.8599213887611237,10
MCAR,0.2,KNN,recall_macro,0.8595983667594707,0.0048316585358578745,0.8561420064585527,0.8630547270603887,10
MCAR,0.2,RFECA-k5,recall_macro,0.8605203293710997,0.005247247214957856,0.8567666748385443,0.8642739839036551,10
MCAR,0.2,RFECA-k10,recall_macro,0.8607514740287525,0.005499627224196533,0.8568172777136592,0.8646856703438458,10
MCAR,0.2,RFECA-k20,recall_macro,0.8654577676638011,0.004777286566470912,0.8620403027266753,0.8688752326009269,10
